                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1727,                 3.1197,                 1.4233,                0.83429,                0.06674,                 0.1466,                0.09397,                 1.1148,                 3.5485,                 1.4863,             0.00024921,             0.00024921,             0.00024921
                      1,                 1.1271,                 2.2187,                 1.3861,                 0.8021,                0.15461,                0.18811,                0.12665,                 1.0954,                 2.7988,                 1.4997,             0.00050054,             0.00050054,             0.00050054
                      2,                 1.1101,                 1.9982,                 1.4013,                0.84907,                0.10009,                0.12671,                0.07445,                 1.6143,                 3.4041,                 2.2624,             0.00074679,             0.00074679,             0.00074679
                      3,                 1.1488,                  1.845,                 1.4017,                0.84425,                 0.1624,                 0.1887,                 0.1018,                 1.5838,                 2.7324,                 1.7889,             0.00074616,             0.00074616,             0.00074616
                      4,                 1.1465,                  1.726,                  1.412,                0.67936,                0.26151,                0.22561,                0.13892,                 1.2864,                 2.3213,                 1.6367,             0.00074616,             0.00074616,             0.00074616
                      5,                 1.1534,                 1.6539,                 1.3856,                 0.8819,                0.24082,                0.27675,                0.17561,                 1.1289,                 2.2492,                  1.523,             0.00073855,             0.00073855,             0.00073855
                      6,                 1.1168,                 1.5558,                 1.3533,                0.79201,                0.29363,                0.31396,                0.20105,                  1.118,                 1.9647,                 1.5141,             0.00073093,             0.00073093,             0.00073093
                      7,                 1.0678,                 1.4978,                 1.3277,                0.75371,                0.30113,                0.29012,                0.17743,                 1.1503,                 2.0506,                 1.5465,             0.00072332,             0.00072332,             0.00072332
                      8,                 1.0251,                 1.4365,                 1.2933,                0.85564,                0.22912,                0.34208,                0.21112,                 1.1246,                 1.8721,                 1.5052,             0.00071571,             0.00071571,             0.00071571
                      9,                 1.0574,                 1.3982,                 1.3429,                0.85006,                0.26312,                0.32284,                0.22298,                 1.1067,                 1.8366,                 1.4762,              0.0007081,              0.0007081,              0.0007081
