                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     10,                 1.0112,                 1.3476,                 1.2827,                0.89383,                 0.2409,                0.34294,                0.19891,                 1.2643,                 1.9655,                 1.6495,             0.00070048,             0.00070048,             0.00070048
                     11,                 1.0161,                 1.3194,                  1.269,                0.79637,                0.28796,                 0.3128,                0.19057,                  1.123,                  1.883,                 1.4403,             0.00069287,             0.00069287,             0.00069287
                     12,                 1.0026,                 1.2848,                 1.2806,                0.77065,                0.32735,                0.34417,                0.21522,                 1.1981,                 1.8464,                 1.5616,             0.00068526,             0.00068526,             0.00068526
                     13,                 1.0287,                 1.2709,                 1.3047,                0.82738,                0.32592,                0.35266,                0.22705,                 1.1434,                 1.7896,                 1.5331,             0.00067764,             0.00067764,             0.00067764
                     14,                0.99003,                 1.2066,                 1.2613,                0.82403,                0.30385,                0.35096,                0.24993,                0.96764,                 1.6769,                 1.3537,             0.00067003,             0.00067003,             0.00067003
                     15,                0.95019,                 1.1551,                 1.2305,                  0.703,                0.35876,                0.39538,                0.26968,                0.98093,                 1.4356,                 1.3634,             0.00066242,             0.00066242,             0.00066242
                     16,                0.93907,                 1.1341,                 1.2401,                0.90379,                0.37875,                0.43842,                0.29954,                 1.0126,                  1.318,                 1.3619,              0.0006548,              0.0006548,              0.0006548
                     17,                0.96963,                 1.1434,                 1.2703,                0.70558,                0.35015,                0.38331,                0.22951,                 1.0963,                 1.5835,                 1.4269,             0.00064719,             0.00064719,             0.00064719
                     18,                0.97108,                  1.121,                 1.2569,                0.64451,                0.34807,                0.34955,                0.24088,                 1.0412,                 1.5058,                 1.4096,             0.00063958,             0.00063958,             0.00063958
                     19,                0.97342,                 1.1433,                 1.2573,                0.72348,                 0.3699,                0.40043,                0.29597,                 0.9485,                 1.4148,                 1.3433,             0.00063196,             0.00063196,             0.00063196
                     20,                0.92849,                 1.0846,                 1.2401,                0.91404,                0.38026,                 0.4306,                 0.3091,                0.98896,                  1.377,                 1.3616,             0.00062435,             0.00062435,             0.00062435
                     21,                 0.8926,                 1.0041,                 1.2079,                0.93207,                0.35897,                0.41618,                0.29619,                0.94856,                 1.2955,                 1.3239,             0.00061674,             0.00061674,             0.00061674
                     22,                0.90372,                 1.0464,                 1.2134,                0.89932,                0.31604,                0.42415,                0.29926,                0.94164,                  1.313,                 1.3138,             0.00060912,             0.00060912,             0.00060912
                     23,                0.88862,                0.99643,                 1.2125,                0.71744,                0.39862,                0.41901,                0.31546,                0.91005,                 1.2358,                 1.2989,             0.00060151,             0.00060151,             0.00060151
                     24,                0.90244,                0.96337,                 1.2109,                0.72463,                0.39224,                0.42952,                 0.3272,                0.87685,                 1.2323,                 1.2665,              0.0005939,              0.0005939,              0.0005939
                     25,                0.87271,                0.93882,                 1.1845,                0.69451,                0.40292,                0.41733,                0.31936,                0.91435,                 1.2392,                 1.2832,             0.00058629,             0.00058629,             0.00058629
                     26,                0.87516,                0.95429,                 1.2215,                0.92536,                0.35895,                0.45925,                0.34266,                0.90323,                 1.1565,                 1.3085,             0.00057867,             0.00057867,             0.00057867
                     27,                0.86342,                0.94732,                 1.1883,                0.72285,                0.38642,                 0.4614,                0.33752,                0.94634,                  1.177,                 1.3315,             0.00057106,             0.00057106,             0.00057106
                     28,                0.87962,                0.92432,                 1.1933,                0.89671,                 0.4289,                0.45192,                0.32753,                0.90733,                 1.1476,                 1.2676,             0.00056345,             0.00056345,             0.00056345
                     29,                0.87494,                0.93914,                 1.1905,                  0.904,                 0.3959,                0.48541,                0.34254,                 1.0106,                   1.29,                 1.3899,             0.00055583,             0.00055583,             0.00055583
                     30,                0.85391,                 0.9355,                  1.182,                0.72884,                0.39428,                0.46579,                0.34824,                0.94561,                 1.1442,                 1.3121,             0.00054822,             0.00054822,             0.00054822
                     31,                0.85322,                0.88442,                 1.1773,                0.91964,                0.41044,                0.49449,                0.37118,                 0.9087,                 1.0986,                 1.3064,             0.00054061,             0.00054061,             0.00054061
                     32,                0.85518,                0.89146,                 1.1711,                0.93967,                0.40269,                 0.5138,                0.37934,                0.90244,                 1.1611,                 1.2848,             0.00053299,             0.00053299,             0.00053299
                     33,                0.82361,                0.86768,                 1.1631,                0.77112,                0.40657,                0.52711,                0.40212,                0.88212,                 1.0663,                 1.2672,             0.00052538,             0.00052538,             0.00052538
                     34,                0.80783,                0.83116,                  1.165,                0.75046,                0.41879,                0.50831,                0.38214,                0.86312,                 1.0513,                 1.2448,             0.00051777,             0.00051777,             0.00051777
                     35,                0.79565,                0.80108,                 1.1511,                0.79569,                0.41067,                0.52781,                0.37491,                0.93374,                  1.058,                 1.3065,             0.00051015,             0.00051015,             0.00051015
                     36,                0.81079,                0.81759,                 1.1486,                0.73954,                0.40144,                0.45553,                0.34939,                0.85754,                 1.0803,                 1.2393,             0.00050254,             0.00050254,             0.00050254
                     37,                0.81723,                0.82768,                 1.1713,                0.73252,                0.38014,                 0.4415,                0.34151,                0.86849,                 1.0747,                 1.2584,             0.00049493,             0.00049493,             0.00049493
                     38,                 0.7898,                0.79791,                 1.1593,                0.75101,                0.39403,                0.46884,                 0.3604,                0.89007,                 1.0241,                 1.2427,             0.00048732,             0.00048732,             0.00048732
                     39,                0.82409,                0.80163,                 1.1588,                0.75783,                0.40895,                0.51118,                0.40797,                0.84814,                0.96835,                 1.2227,              0.0004797,              0.0004797,              0.0004797
                     40,                 0.7894,                0.78369,                 1.1261,                0.78082,                0.40505,                0.51422,                0.40542,                0.87869,                0.96264,                 1.2408,             0.00047209,             0.00047209,             0.00047209
                     41,                0.78595,                0.76415,                 1.1285,                0.75313,                0.38882,                0.48381,                0.37109,                  0.876,                 1.1288,                 1.2504,             0.00046448,             0.00046448,             0.00046448
                     42,                0.78795,                0.77735,                 1.1343,                0.73575,                0.43377,                0.47452,                0.36713,                0.85723,                 1.0186,                 1.2273,             0.00045686,             0.00045686,             0.00045686
                     43,                0.77918,                0.76573,                 1.1343,                 0.7495,                0.42398,                0.46992,                0.37933,                0.80256,                0.93138,                 1.2084,             0.00044925,             0.00044925,             0.00044925
                     44,                0.77561,                0.78323,                 1.1289,                0.76914,                0.41465,                0.48362,                0.37473,                0.84444,                0.99779,                 1.2206,             0.00044164,             0.00044164,             0.00044164
                     45,                0.76347,                0.75306,                 1.1257,                0.75066,                0.42211,                0.48964,                0.39136,                 0.8343,                0.93966,                 1.2244,             0.00043402,             0.00043402,             0.00043402
                     46,                0.76281,                0.75494,                 1.1288,                0.76305,                0.41679,                0.46726,                0.36403,                0.82978,                0.95883,                 1.2208,             0.00042641,             0.00042641,             0.00042641
                     47,                0.75124,                0.72684,                 1.1244,                0.74278,                0.40366,                0.48904,                0.38931,                0.81054,                0.97884,                 1.2045,              0.0004188,              0.0004188,              0.0004188
                     48,                 0.7197,                0.67969,                 1.0985,                0.74891,                0.40555,                 0.5184,                 0.4043,                0.79274,                0.99947,                 1.1845,             0.00041118,             0.00041118,             0.00041118
                     49,                0.75848,                0.72168,                 1.1201,                0.75789,                0.42405,                0.48626,                 0.3831,                0.80088,                0.91902,                 1.1985,             0.00040357,             0.00040357,             0.00040357
                     50,                0.74753,                0.69109,                 1.0997,                0.62723,                 0.4838,                0.50014,                  0.402,                0.79532,                0.95457,                 1.1789,             0.00039596,             0.00039596,             0.00039596
                     51,                 0.7343,                0.67534,                 1.1117,                0.65694,                0.49811,                 0.5212,                0.40571,                0.81244,                0.84138,                 1.2004,             0.00038835,             0.00038835,             0.00038835
                     52,                 0.7264,                0.66578,                 1.0974,                0.69874,                0.50158,                0.51058,                0.40292,                0.78368,                0.89535,                 1.1835,             0.00038073,             0.00038073,             0.00038073
                     53,                0.73842,                 0.6849,                 1.1115,                0.76262,                0.45823,                0.48955,                0.39206,                 0.8003,                0.95719,                 1.1764,             0.00037312,             0.00037312,             0.00037312
                     54,                0.74392,                0.69008,                 1.1161,                0.65349,                0.46862,                0.48549,                0.39462,                0.81387,                 0.9768,                  1.211,             0.00036551,             0.00036551,             0.00036551
                     55,                0.71569,                 0.6605,                 1.0978,                0.74064,                0.47274,                 0.4836,                0.36689,                0.82427,                0.97963,                 1.2069,             0.00035789,             0.00035789,             0.00035789
                     56,                0.69539,                 0.6597,                  1.074,                0.69882,                0.47762,                 0.4894,                0.39743,                0.80561,                0.91965,                 1.1897,             0.00035028,             0.00035028,             0.00035028
                     57,                0.70389,                0.64929,                 1.1046,                0.74205,                0.47072,                0.51759,                0.41345,                0.80108,                0.84178,                 1.1888,             0.00034267,             0.00034267,             0.00034267
                     58,                0.70465,                0.62916,                  1.081,                0.73015,                0.45199,                0.50426,                0.40419,                0.79679,                0.92137,                 1.1764,             0.00033505,             0.00033505,             0.00033505
                     59,                0.70114,                0.63655,                 1.0928,                0.71972,                0.48301,                0.50851,                0.41863,                0.76221,                0.84679,                 1.1391,             0.00032744,             0.00032744,             0.00032744
                     60,                0.70877,                0.64291,                 1.0958,                0.44444,                0.52632,                0.50764,                0.41335,                0.75861,                0.85631,                 1.1379,             0.00031983,             0.00031983,             0.00031983
                     61,                0.69635,                 0.6513,                 1.0913,                0.48634,                0.54038,                0.54398,                 0.4466,                0.77434,                0.90135,                 1.1719,             0.00031221,             0.00031221,             0.00031221
                     62,                0.69955,                0.63049,                 1.0823,                  0.705,                0.48148,                0.52981,                0.44064,                0.76427,                0.88534,                 1.1567,              0.0003046,              0.0003046,              0.0003046
                     63,                0.68681,                0.63243,                 1.0886,                0.47807,                0.53542,                0.53538,                0.44294,                0.77521,                 0.8831,                 1.1758,             0.00029699,             0.00029699,             0.00029699
                     64,                0.68378,                0.62756,                 1.0804,                0.71998,                0.46234,                0.48579,                0.38726,                0.78574,                0.90503,                 1.1766,             0.00028937,             0.00028937,             0.00028937
                     65,                0.67735,                0.60737,                 1.0722,                0.52604,                0.52427,                0.54024,                0.44329,                0.75971,                0.91305,                 1.1637,             0.00028176,             0.00028176,             0.00028176
                     66,                0.69928,                0.63076,                 1.0875,                0.70129,                0.48266,                0.54883,                0.45763,                0.76586,                0.81446,                 1.1651,             0.00027415,             0.00027415,             0.00027415
                     67,                 0.6682,                0.58891,                 1.0753,                0.74269,                0.46808,                0.53243,                0.44052,                0.76771,                0.90187,                 1.1615,             0.00026654,             0.00026654,             0.00026654
                     68,                0.68333,                 0.5977,                 1.0672,                0.75719,                0.45587,                0.52399,                0.43306,                0.75111,                0.89679,                 1.1628,             0.00025892,             0.00025892,             0.00025892
                     69,                0.68315,                0.59313,                 1.0959,                 0.7869,                0.44233,                0.50861,                0.40619,                0.77675,                0.87074,                 1.1686,             0.00025131,             0.00025131,             0.00025131
                     70,                0.67007,                0.60232,                  1.066,                0.44378,                0.56713,                0.54644,                  0.459,                0.76156,                0.82035,                 1.1517,              0.0002437,              0.0002437,              0.0002437
                     71,                0.65906,                0.57568,                 1.0612,                0.40912,                0.52311,                0.49014,                0.39449,                0.76988,                0.83485,                 1.1553,             0.00023608,             0.00023608,             0.00023608
                     72,                0.65572,                0.58284,                 1.0623,                0.73212,                0.44947,                0.54269,                0.45467,                0.76576,                0.84322,                 1.1527,             0.00022847,             0.00022847,             0.00022847
                     73,                0.65753,                0.57946,                 1.0705,                0.72418,                0.44269,                0.52316,                0.43893,                0.75502,                0.80883,                 1.1633,             0.00022086,             0.00022086,             0.00022086
                     74,                 0.6384,                0.54895,                 1.0494,                0.75417,                 0.4609,                  0.543,                0.45573,                0.76572,                0.89909,                 1.1638,             0.00021324,             0.00021324,             0.00021324
                     75,                0.64792,                 0.5658,                 1.0669,                0.75738,                 0.4628,                0.54016,                0.45806,                0.74135,                  0.868,                 1.1435,             0.00020563,             0.00020563,             0.00020563
                     76,                0.63067,                0.54716,                 1.0612,                0.45678,                0.52875,                0.53556,                0.45226,                0.74217,                 0.8132,                 1.1513,             0.00019802,             0.00019802,             0.00019802
                     77,                0.64739,                0.57278,                 1.0554,                  0.529,                0.52628,                0.54459,                0.45418,                0.74027,                0.82128,                 1.1597,              0.0001904,              0.0001904,              0.0001904
                     78,                0.62403,                0.54702,                 1.0484,                0.52983,                0.53524,                 0.5554,                0.46834,                 0.7544,                0.80306,                  1.163,             0.00018279,             0.00018279,             0.00018279
                     79,                0.63284,                0.53762,                 1.0525,                0.56222,                0.52341,                0.55489,                0.46614,                0.77011,                0.82606,                 1.1658,             0.00017518,             0.00017518,             0.00017518
                     80,                0.62787,                0.54462,                 1.0553,                0.54096,                 0.5361,                0.54487,                0.46129,                0.75956,                 0.8288,                 1.1692,             0.00016757,             0.00016757,             0.00016757
                     81,                0.62571,                0.53879,                 1.0507,                0.54465,                0.57145,                0.55343,                0.47827,                0.73421,                0.80544,                  1.141,             0.00015995,             0.00015995,             0.00015995
                     82,                0.63572,                0.54982,                 1.0447,                0.72557,                0.47197,                0.51258,                0.42466,                0.75209,                0.80188,                 1.1475,             0.00015234,             0.00015234,             0.00015234
                     83,                0.58255,                0.50249,                 1.0223,                0.46493,                0.56896,                 0.5418,                0.44941,                0.75264,                0.82236,                  1.145,             0.00014473,             0.00014473,             0.00014473
                     84,                0.60113,                0.51414,                  1.041,                0.51201,                0.52678,                0.55348,                0.46766,                0.74139,                 0.8073,                 1.1421,             0.00013711,             0.00013711,             0.00013711
                     85,                0.61825,                0.53966,                 1.0425,                0.48597,                 0.5344,                0.53847,                0.45137,                0.74678,                0.80301,                 1.1465,              0.0001295,              0.0001295,              0.0001295
                     86,                 0.6141,                0.52425,                 1.0329,                 0.5368,                0.52958,                0.54194,                0.45962,                 0.7503,                0.79745,                 1.1378,             0.00012189,             0.00012189,             0.00012189
                     87,                0.62263,                0.54114,                 1.0392,                0.55016,                0.55723,                0.54963,                0.46034,                0.74886,                0.78075,                 1.1378,             0.00011427,             0.00011427,             0.00011427
                     88,                0.61037,                  0.512,                 1.0318,                0.53758,                0.54345,                0.54952,                0.46482,                0.73806,                0.80447,                 1.1348,             0.00010666,             0.00010666,             0.00010666
                     89,                0.59824,                0.50886,                 1.0255,                0.46001,                0.56507,                0.52442,                0.44186,                0.74362,                0.79465,                 1.1354,             9.9047e-05,             9.9047e-05,             9.9047e-05
                     90,                0.47068,                0.42911,                0.97896,                0.43873,                0.56496,                0.52257,                0.43142,                0.74376,                0.79852,                 1.1417,             9.1434e-05,             9.1434e-05,             9.1434e-05
                     91,                0.48531,                0.40806,                0.99209,                0.66175,                0.54913,                0.53064,                0.45074,                0.73904,                0.80584,                  1.145,             8.3821e-05,             8.3821e-05,             8.3821e-05
                     92,                0.47228,                0.38415,                0.96959,                 0.7018,                0.52135,                 0.5434,                0.46716,                0.73808,                0.81497,                 1.1492,             7.6208e-05,             7.6208e-05,             7.6208e-05
                     93,                0.46259,                0.38804,                 0.9692,                0.74227,                0.51082,                0.54078,                 0.4618,                 0.7419,                0.82623,                 1.1512,             6.8595e-05,             6.8595e-05,             6.8595e-05
                     94,                0.43236,                0.37043,                0.94993,                0.69382,                0.53082,                0.54639,                0.46773,                0.73362,                0.80469,                 1.1399,             6.0982e-05,             6.0982e-05,             6.0982e-05
                     95,                0.45699,                0.37378,                0.96079,                0.67288,                0.54707,                0.53009,                0.45184,                 0.7198,                0.80498,                 1.1334,             5.3369e-05,             5.3369e-05,             5.3369e-05
                     96,                0.46097,                0.37546,                0.94805,                0.52239,                0.54583,                0.54808,                0.46623,                0.71865,                 0.7886,                 1.1332,             4.5756e-05,             4.5756e-05,             4.5756e-05
                     97,                 0.4379,                0.37317,                0.94801,                0.58539,                0.54913,                0.55185,                0.46796,                0.72318,                0.77928,                 1.1342,             3.8142e-05,             3.8142e-05,             3.8142e-05
                     98,                0.43746,                0.35727,                0.95481,                0.54219,                0.54913,                0.54911,                0.46748,                0.72417,                0.78356,                 1.1329,             3.0529e-05,             3.0529e-05,             3.0529e-05
                     99,                0.43771,                0.35339,                0.95405,                0.52734,                0.54913,                0.54619,                0.46629,                0.72013,                0.77851,                 1.1276,             2.2916e-05,             2.2916e-05,             2.2916e-05
