                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1727,                 3.1197,                 1.4233,                0.83429,                0.06674,                 0.1466,                0.09397,                 1.1148,                 3.5485,                 1.4863,             0.00024921,             0.00024921,             0.00024921
                      1,                 1.1271,                 2.2187,                 1.3861,                 0.8021,                0.15461,                0.18811,                0.12665,                 1.0954,                 2.7988,                 1.4997,             0.00050054,             0.00050054,             0.00050054
                      2,                 1.1101,                 1.9982,                 1.4013,                0.84907,                0.10009,                0.12671,                0.07445,                 1.6143,                 3.4041,                 2.2624,             0.00074679,             0.00074679,             0.00074679
                      3,                 1.1488,                  1.845,                 1.4017,                0.84425,                 0.1624,                 0.1887,                 0.1018,                 1.5838,                 2.7324,                 1.7889,             0.00074616,             0.00074616,             0.00074616
