                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.67627,                0.59273,                 1.0941,                0.76321,                0.41369,                0.45817,                0.37281,                0.75346,                 1.0176,                 1.1361,             0.00051777,             0.00051777,             0.00051777
                     35,                0.67761,                0.57659,                  1.102,                 0.7881,                0.40793,                0.49406,                0.39183,                0.78264,                 1.0239,                 1.1632,             0.00051015,             0.00051015,             0.00051015
                     36,                0.67125,                0.56467,                 1.1043,                0.77813,                 0.3875,                0.45579,                 0.3639,                0.79247,                 1.1073,                 1.1683,             0.00050254,             0.00050254,             0.00050254
                     37,                0.65411,                0.55508,                 1.0901,                0.76614,                0.42223,                0.48829,                0.38883,                0.87137,                 1.0514,                 1.1998,             0.00049493,             0.00049493,             0.00049493
                     38,                0.65024,                0.55147,                 1.0728,                0.73313,                0.43009,                0.45388,                0.35554,                0.79998,                 1.0207,                 1.1845,             0.00048732,             0.00048732,             0.00048732
                     39,                0.63533,                0.55976,                 1.0633,                 0.7499,                0.43158,                 0.4942,                0.39468,                0.79404,                 1.1517,                 1.1657,              0.0004797,              0.0004797,              0.0004797
                     40,                0.62685,                 0.5412,                 1.0637,                0.77282,                0.43675,                 0.4964,                0.39043,                0.78561,                 1.0326,                  1.159,             0.00047209,             0.00047209,             0.00047209
                     41,                0.63752,                0.53971,                 1.0723,                0.77019,                0.42464,                0.51305,                 0.4037,                0.81298,                  1.015,                 1.1616,             0.00046448,             0.00046448,             0.00046448
                     42,                0.62818,                0.53141,                  1.066,                0.77187,                0.41601,                0.52772,                 0.4147,                0.83681,                 1.0212,                 1.1831,             0.00045686,             0.00045686,             0.00045686
                     43,                0.62737,                 0.5266,                 1.0631,                0.78251,                0.42876,                 0.5179,                0.43071,                0.75009,                 1.0257,                 1.1254,             0.00044925,             0.00044925,             0.00044925
                     44,                0.61262,                0.50771,                 1.0622,                0.76886,                0.40103,                0.48299,                0.39463,                0.79085,                 1.0183,                 1.1579,             0.00044164,             0.00044164,             0.00044164
                     45,                0.59092,                0.50479,                   1.06,                0.77935,                0.40665,                0.49391,                0.40456,                0.76207,                 1.0956,                 1.1342,             0.00043402,             0.00043402,             0.00043402
                     46,                0.58778,                0.50556,                 1.0493,                0.73906,                0.42986,                0.46178,                0.36539,                0.79678,                 1.0308,                 1.1666,             0.00042641,             0.00042641,             0.00042641
                     47,                0.58192,                0.48779,                 1.0338,                0.74839,                 0.3879,                0.47063,                0.38854,                0.74838,                 1.0988,                 1.1126,              0.0004188,              0.0004188,              0.0004188
                     48,                 0.5908,                0.48943,                 1.0395,                0.78653,                0.39583,                0.48705,                0.39834,                 0.7558,                 1.0351,                 1.1331,             0.00041118,             0.00041118,             0.00041118
                     49,                0.58672,                0.48308,                 1.0362,                0.77398,                0.40314,                0.49543,                0.40372,                0.77769,                  1.048,                 1.1248,             0.00040357,             0.00040357,             0.00040357
                     50,                0.59001,                0.48938,                 1.0493,                 0.6173,                 0.4981,                0.54681,                0.45887,                0.77082,                 1.0243,                  1.125,             0.00039596,             0.00039596,             0.00039596
                     51,                0.58217,                0.48326,                  1.038,                0.54685,                0.47421,                 0.4993,                0.42253,                0.71928,                  1.046,                 1.1078,             0.00038835,             0.00038835,             0.00038835
                     52,                0.57052,                0.46491,                 1.0353,                0.54687,                0.50746,                0.50496,                0.41904,                0.76254,                 1.0905,                 1.1121,             0.00038073,             0.00038073,             0.00038073
                     53,                0.55008,                0.45026,                 1.0113,                0.63779,                0.47123,                0.52612,                0.43482,                0.77597,                 1.0781,                 1.1172,             0.00037312,             0.00037312,             0.00037312
                     54,                 0.5636,                0.46316,                 1.0272,                0.46764,                0.54141,                0.50163,                0.41755,                0.76515,                 1.0152,                 1.1272,             0.00036551,             0.00036551,             0.00036551
                     55,                 0.5843,                0.46832,                 1.0345,                0.72858,                0.49168,                0.54862,                 0.4592,                0.75946,                0.98616,                 1.1084,             0.00035789,             0.00035789,             0.00035789
                     56,                0.53993,                0.44328,                  1.021,                0.55318,                0.50339,                0.53929,                0.44908,                 0.7591,                0.99039,                 1.1201,             0.00035028,             0.00035028,             0.00035028
                     57,                0.55842,                0.45928,                 1.0164,                0.58815,                0.49728,                0.53497,                0.44337,                0.81271,                0.99662,                 1.1467,             0.00034267,             0.00034267,             0.00034267
                     58,                0.54646,                0.43798,                 1.0184,                0.53632,                0.53729,                0.53269,                0.44521,                0.76327,                 1.0121,                 1.1238,             0.00033505,             0.00033505,             0.00033505
                     59,                0.55494,                0.44854,                  1.018,                0.49726,                 0.5072,                0.52169,                0.43445,                0.75426,                 1.0341,                 1.1199,             0.00032744,             0.00032744,             0.00032744
                     60,                0.53587,                 0.4371,                0.99855,                0.49787,                0.52701,                0.52017,                0.43386,                0.74991,                 1.0017,                 1.1158,             0.00031983,             0.00031983,             0.00031983
                     61,                0.55326,                0.44122,                 1.0246,                0.47411,                0.51337,                0.50343,                0.42254,                0.74097,                0.96208,                 1.0975,             0.00031221,             0.00031221,             0.00031221
                     62,                0.54042,                 0.4315,                 1.0102,                0.55765,                0.48174,                 0.5082,                0.41708,                0.73124,                0.94179,                 1.0896,              0.0003046,              0.0003046,              0.0003046
                     63,                0.52866,                 0.4329,                 1.0114,                0.51486,                0.54218,                0.50638,                0.42811,                0.71525,                 1.0315,                 1.0891,             0.00029699,             0.00029699,             0.00029699
                     64,                0.53419,                0.43054,                 1.0041,                0.52423,                0.53627,                0.52411,                0.44746,                0.70337,                 1.0095,                 1.0774,             0.00028937,             0.00028937,             0.00028937
                     65,                0.52158,                0.41174,                 1.0037,                0.51705,                0.50231,                0.49466,                0.42739,                0.71135,                0.98663,                 1.0906,             0.00028176,             0.00028176,             0.00028176
                     66,                0.51392,                0.41053,                0.98781,                0.53843,                0.50754,                0.50759,                0.43407,                 0.7082,                0.96434,                 1.0942,             0.00027415,             0.00027415,             0.00027415
